year,rank,artist,song,lyrics
1992,6,Stone Temple Pilots,Plush,"And I feel that time's a wasted go|So where you goin' 'til tomorrow?|And I see that these are lies to come|So would you even care?|And I feel it|And I feel it|Where you goin' for tomorrow?|Where you goin' with the mask I found?|And I feel, and I feel when the dogs begin to smell her|Will she smell alone?|And I feel so much depends on the weather|So is it rainin' in your bedroom?|And I see that these are the eyes of disarray|So would you even care?|And I feel it|And she feels it|Where you goin' for tomorrow?|Where you goin' with the mask I found?|And I feel, and I feel when the dogs begin to smell her|Will she smell alone?|When the dogs do find her|Got time, time, to wait for tomorrow|To find it, to find it, to find it|When the dogs do find her|Got time, time, to wait for tomorrow|To find it, to find it, to find it|Where you goin' for tomorrow?|Where you goin' with the mask I found?|And I feel, and I feel when the dogs begin to smell her|Will she smell alone?|When the dogs do find her|Got time, time, to wait for tomorrow|To find it, to find it, to find it|When the dogs do find her|Got time, time, to wait for tomorrow|To find it, to find it, to find it|To find it|To find it|To find it19"
1992,7,R.E.M.,Everybody Hurts,"When your day is long|And the night, the night is yours alone|When you're sure you've had enough|Of this life, well hang on|Don't let yourself go|'Cause everybody cries|Everybody hurts sometimes|Sometimes everything is wrong|Now it's time to sing along|When your day is night alone (hold on, hold on)|If you feel like letting go (hold on)|If you think you've had too much|Of this life, well hang on|'Cause everybody hurts|Take comfort in your friends|Everybody hurts|Don't throw your hand, oh no|Don't throw your hand|If you feel like you're alone|No, no, no, you're not alone|If you're on your own in this life|The days and nights are long|When you think you've had too much|Of this life to hang on|Well, everybody hurts sometimes|Everybody cries|Everybody hurts, sometimes|And everybody hurts sometimes|So hold on, hold on|Hold on, hold on, hold on|Hold on, hold on, hold on|Everybody hurts|No, no, no, no, no, you're not alone14"
1992,8,Sir Mix-a-Lot,Baby Got Back,"Oh, my, God, Becky, look at her butt. It is so big. She looks like one of those rap guys' girlfriends. Who understands those rap guys? They only talk to her, because she looks like a total prostitute, okay? I mean, her butt, it's just so big. Ugh, I can't believe it's just so round, it's like out there, I mean, ugh, gross. Look! She's just so black!|I like big butts and I cannot lie|You other brothers can't deny|That when a girl walks in with an itty bitty waist|And a round thing in your face, you get sprung|Wanna pull up tough 'cause you notice that butt was stuffed|Deep in the jeans she's wearin'|I'm hooked and I can't stop starin'|Oh, baby, I wanna get wit'cha|And take your picture|My homeboys tried to warn me|But that butt you got makes (Me so horny!)|Oh, Rump-o'-smooth-skin|You say you wanna get in my Benz?|Well, use me, use me|'Cause you ain't that average groupie|I've seen 'em dancin'|To hell with romancin'|She sweat, wet|Got it goin' like a turbo 'Vette|I'm tired of magazines|Sayin' flat butts are the thing|Take the average black man and ask him that|She gotta pack much back|So, fellas! (Yeah!) Fellas! (Yeah!)|Has your girlfriend got the butt? (Hell yeah!)|Tell 'em to shake it! (Shake it!) Shake it! (Shake it!)|Shake that healthy butt!|Baby got back!|(L.A. face with a Oakland booty)|Baby got back!|(L.A. face with a Oakland booty)|(L.A. face with a Oakland booty)|I like 'em round, and big|And when I'm throwin' a gig|I just can't help myself, I'm actin' like an animal|Now here's my scandal|I wanna get you home|And ugh, double-up, ugh-ugh|I ain't talkin' 'bout Playboy|'Cause silicone parts are made for toys|I want 'em real thick and juicy|So find that juicy double|Mix-a-Lot's in trouble|Beggin' for a piece of that bubble|So I'm lookin' at rock videos|Knock-kneed bimbos walkin' like hoes|You can have them bimbos|I'll keep my women like Flo Jo|A word to the thick soul sisters, I wanna get wit'cha|I won't cuss or hit ya|But I gotta be straight when I say I wanna—|'Til the break of dawn|Baby got it goin' on|A lot of simps won't like this song|'Cause them punks like to hit it and quit it|And I'd rather stay and play|'Cause I'm long, and I'm strong|And I'm down to get the friction on|So, ladies! (Yeah!) Ladies! (Yeah)|If you wanna roll in my Mercedes (Yeah!)|Then turn around! Stick it out!|Even white boys got to shout|Baby got back!|Baby got back!|Yeah, baby. When it comes to females, Cosmo ain't got nothin' to do with my selection. 36-24-36? Ha-ha, only if she's 5'3.|So your girlfriend rolls a Honda|Playin' workout tapes by Fonda|But Fonda ain't got a motor in the back of her Honda|My anaconda don't want none|Unless you've got buns, hun|You can do side bends or sit-ups|But please don't lose that butt|Some brothers wanna play that hard role|And tell you that the butt ain't gold|So they toss it and leave it|And I pull up quick to retrieve it|So Cosmo says you're fat|Well I ain't down with that!|'Cause your waist is small and your curves are kickin'|And I'm thinkin' 'bout stickin'|To the beanpole dames in the magazines:|You ain't it, Miss Thing!|Give me a sista, I can't resist her|Red beans and rice didn't miss her|Some knucklehead tried to diss|'Cause his girls are on my list|He had game, but he chose to hit 'em|And I pull up quick to get wit 'em|So ladies, if the butt is round|And you want a triple X throwdown|Dial 1-900-MIX-A-LOT|And kick them nasty thoughts|Baby got back!|Baby got back!|Little in the middle but she got much back!|Little in the middle but she got much back!37"
1992,9,Mary J. Blige,Real Love,"We are lovers through and through|And though we made it through the storm|I really want you to realize, I really want to put you on|I've been searching for someone to satisfy my every need|Won't you be my inspiration?|Be the real love that I need|Real love, I'm searching for a real love|Someone to set my heart free|Real love, I'm searching for a real love|Ooh, when I met you|I just knew that you would take my heart and run|Until you told me how you loved for me, you said I'm not the one|So I slowly came to see all of the things that you were made of|And now I hope my dreams and inspiration lead me towards a real love|Real love, I'm searching for a real love|Someone to set my heart free|Real love, I'm searching for a real love|I got to have a real love|Love so true, and oh baby, I thought that love was true|I thought that you were the answer to the question in my mind|But it seems that I was wrong, if I stay strong, maybe I'll find|A real love|So I've tried my best and prayed to God he'll send me someone real|To caress me and to guide me towards a love my heart can feel|Now I know I can be faithful, I can be your all and all|I'll give you good lovin' through the summertime, winter, spring and fall|Real love, I'm searching for a real love (Real love, real love)|Someone to set my heart free|Real love, I'm searching for a real love|Real love, I'm searching for a real love|Someone to set my heart free|Real love, I'm searching for a real love|See, I'm searching for a real love and I don't know where to go|(Real love, I'm searching for a real love)|Been around the world and high and low and still I never know|(Someone to set my heart free|Real love, I'm searching for a real love)|How it feels to have a real love cause it seems it's not around|Gotta end it in this way 'cause it seems he can't be found|Real love, I'm searching for a real love|Someone to set my heart free|Real love, I'm searching for a real love|Real love, I'm searching for a real love|Someone to set my heart free|Real love, I'm searching for a real love|Real love3"
1992,10,House of Pai,Jump Around,"Pack it up, pack it in, let me begin|I came to win, battle me, that's a sin|I won't ever slack up, punk, ya better back up|Try and play the role and yo, the whole crew'll act up|Get up, stand up, (C'mon!) c'mon, throw your hands up|If ya got the feelin', jump up towards the ceilin'|Muggs let the funk flow, someone's talkin' junk|Yo, I bust him in the eye and then I'll take the punk's ho|Feelin', funkin', amps in the trunk, and|I got more rhymes than there's cops at a Dunkin'|Donuts shop, sho' nuff, I got props|From the kids on the Hill plus my mom and my pops|I came to get down, I came to get down|So get out your seat and jump around|Jump around (Jump around)|Jump around (Jump around)|Jump around (Jump around)|Jump up, jump up, and get down|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump!|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump! Jump!|I'll serve your ass like John McEnroe|If your girl steps up, I'm smackin' the ho *Smack*|Word to your moms, I came to drop bombs|I got more rhymes than the Bible's got Psalms|And just like the Prodigal Son, I've returned|Anyone steppin' to me, you'll get burned|'Cause I got lyrics, but you ain't got none|If ya come to battle, bring a shotgun (Shotgun)|But if you do you're a fool, 'cause I duel to the death|Tryin' to step to me, you'll take your last breath|I got the skill, come get your fill|'Cause when I shoot the gift, I shoot to kill|I came to get down, I came to get down|So get out your seat and jump around|Jump around (Jump around)|Jump around (Jump around)|Jump around (Jump around)|Jump up, jump up, and get down|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump!|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump! Jump!|(Steady on the right|Steady on the right|Steady on the left|Steady on the right|Steady on the right|Steady on the left)|I'm the cream of the crop, I rise to the top|I never eat a pig 'cause a pig is a cop|Or better yet a Terminator, like Arnold Schwarzenegger|Tryin' to play me out like as if my name was Sega|But I ain't goin' out like no punk bitch|Get used to one style and yo, and I might switch|It up, up and around, then buck, buck ya down|Put out ya head and then ya wake up in the Dawn of the Dead|I'm comin' to get ya, I'm comin' to get ya|Spittin' out lyrics, homie, I'll wet ya|I came to get down, I came to get down|So get out your seat and jump around|Jump around (Jump around)|Jump around (Jump around)|Jump around (Jump around)|Jump up, jump up, and get down|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump!|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump! Jump!|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump!|Jump! Jump! Jump! Jump! (Everybody jump)|Jump! Jump! Jump! Jump!|Yo, this is dedicated to Joe The Biter Nicolo|Grab the bozack, punk|(Steady on the right|Steady on the right|Steady on the right)38"
1993,1,Beck,Loser,"In the time of chimpanzees, I was a monkey|Butane in my veins, and I'm out to cut the junkie|With the plastic eyeballs, spray paint the vegetables|Dog food stalls with the beefcake pantyhose|Kill the headlights and put it in neutral|Stock car flaming with the loser in the cruise control|Baby's in Reno with the vitamin D|Got a couple of couches, sleep on the loveseat|Someone came, saying I'm insane to complain|About a shotgun wedding and a stain on my shirt|Don't believe everything that you breathe|You get a parking violation and a maggot on your sleeve|So shave your face with some mace in the dark|Saving all your food stamps and burning down the trailer park|Yo, cut it|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(Double barrel buckshot)|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|The forces of evil in a bozo nightmare|Ban all the music with the phony gas chamber|'Cause one's got a weasel, and the other's got a flag|One's on the pole, shove the other in a bag|With the rerun shows and the cocaine nose job|The daytime crap of the folksinger slob|He hung himself with a guitar string|A slab of turkey neck, and it's hanging from a pigeon wing|You can't write if you can't relate|Trade the cash for the beat, for the body, for the heat|And my time is a piece of wax falling on a termite|Who's choking on the splinters|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(Get crazy with the cheese whiz)|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(Drive-by body pierce)|(Yo, bring it on down)|(em llik uoy t'nod yhw os|Ybab resol a m'I|Rodedrep nu yoS)|I'm a driver, I'm a winner|Things are gonna change, I can feel it|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(I can't believe you)|Soy un perdedor|(Ahh)|I'm a loser, baby, so why don't you kill me?|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(Sprechen Sie Deutsch, eh, baby?)|Soy un perdedor|I'm a loser, baby, so why don't you kill me?|(Know what I'm sayin'?)69"
1993,2,Sheryl Crow,All I Wanna Do,"Hit it|This ain't no disco|It ain't no country club either|This is LA|All I wanna do is have a little fun before I die|Says the man next to me, out of nowhere|It's apropos of nothing|He says his name is William|But I'm sure he's Bill or Billy or Mac or Buddy|And he's plain ugly to me|And I wonder if he's ever had a day of fun in his whole life|We are drinking beer at noon on Tuesday|In a bar that faces a giant car wash|The good people of the world|Are washing their cars on their lunch break|Hosin' and scrubbin' as best they can in skirts and suits|They drive their shiny Datsuns and Buicks|Back to the phone company, the record store too|Well, they're nothing like Billy and me, 'cause|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|Until the sun comes up over Santa Monica Boulevard|I like a good beer buzz early in the mornin'|And Billy likes to peel the labels from his bottles of Bud|He shreds them on the bar|Then he lights every match in an oversized pack|Lettin' each one burn, down to his thick fingers|Before blowin' and cursin' them out|And he's watching the bottles of Bud as they spin on the floor|And a happy couple enters the bar|Dangerously close to one another|The bartender looks up from his want ads, but|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|Until the sun comes up over Santa Monica Boulevard|Otherwise the bar is ours|The day and the night and the car wash too|The matches and the Buds and the clean and dirty cars|The sun and the moon, but|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|I got a feelin' I'm not the only one|All I wanna do is have some fun|I got a feelin' the party has just begun|All I wanna do is have some fun|I won't tell you that you're the only one|All I wanna do is have some fun|Until the sun comes up over Santa Monica Boulevard|Until the sun comes up over Santa Monica Boulevard4"
1993,3,Smashing Pumpkins,Today,"Today is the greatest|Day I've ever known|Can't live for tomorrow|Tomorrow's much too long|I'll burn my eyes out|Before I get out|I wanted more|Than life could ever grant me|Bored by the chore|Of saving face|Today is the greatest|Day I've ever known|Can't wait for tomorrow|I might not have that long|I'll tear my heart out|Before I get out|Pink ribbon scars|That never forget|I tried so hard|To cleanse these regrets|My angel wings|Were bruised and restrained|My belly stings|Today is|Today is|Today is|The greatest day, ooh|Ooh, oh, oh, ooh|I want to turn you on|I want to turn you on|I want to turn you on|I want to turn you|Today is the greatest|Today is the greatest day|Today is the greatest day|That I have ever really known26"
1993,4,Salt 'n' Pepa with En Vogue,Whatta Man,"We been together already but when you pack up an gone|Well the feeling inside it still lingers on|Mi waan your body bad mista married man|Mi no care if mi haffi back out mi secret weapon|Verse 1:|Mi hear da deejay dem ah chat bout wife an dem mate|Your wife can pose up anytime inna mi place|She could beat mi tonight an all mash up mi face|From mi no dead mi gwaan deal with your case|Chorus #2:|Cause married men get lonely too, baby love|And when your wife gone we can do what we're gonna do|See it ya, mi need you more than you can imagine|Woulda run lef mi family come live inna foreign|Just fi see your face mi would plea bargin|Turn mi husband inna ex an to you mi woulda married|Verse 2:|Mi hear En Vogue dem ah sing sey oh whatta man|Salt -n- Pepa sey you favor Denzel Washington|But you're a world of sweetness, one in a million|I wouda die fi you or tek prison sentence|You might also likeChorus #2|Verse 3:|With you I've spend the best years of my life|Loving each other Dirty nigga didn't like|So dem break the news an tell it to your wife|That's when mi stop get your sweet caress|I couldn't live with myself if she out live|Breaking up the family wasn't a parta di plan|But just seeing you again mek mi waan purr|Chorus #1|Verse 4:|Mi friends sey I'm crazy dem tink mi insane|Why I'm playing such dangerous game|Man no money mi ah look, mi know all no fame|An mi swear to god it's not your last name|Chorus #1|Repeat from top"
1993,5,Counting Crows,Mr. Jones,"Sha, la, la, la, la, la ,la|Mmm|Uh huh|I was down at the New Amsterdam|Staring at this yellow-haired girl|Mr. Jones strikes up a conversation|With a black-haired flamenco dancer|You know, she dances while his father plays guitar|She's suddenly beautiful|We all want something beautiful|Man, I wish I was beautiful|So come dance this silence down through the morning|Sha, la, la, la, la, la ,la, la, yeah|Uh huh, yeah|Cut up, Maria!|Show me some of that Spanish dancin'|Pass me a bottle, Mr. Jones|Believe in me|Help me believe in anything|'Cause I wanna be someone who believes|Yeah|Mr. Jones and me|Tell each other fairy tales|And we stare at the beautiful women|She's looking at you|Oh no, no, she's looking at me|Smilin' in the bright lights|Coming through in stereo|When everybody loves you|You can never be lonely|Well, I'm gon' paint my picture|Paint myself in blue, red, black and gray|All of the beautiful colors are very, very meaningful|Yeah, well, you know gray is my favorite color|I felt so symbolic yesterday|If I knew Picasso|I would buy myself a gray guitar and play|Mr. Jones and me|Look into the future|Yeah, we stare at the beautiful women|She's looking at you|I don't think so|She's looking at me|Standing in the spotlight|I bought myself a gray guitar|When everybody loves me|I will never be lonely|I will never be lonely|Said, I'm never gonna be|Lonely|I wanna be a lion|Yeah, everybody wanna pass as cats|We all wanna be big, big stars|Yeah, but we got different reasons for that|Believe in me|'Cause I don't believe in anything|And I wanna be someone to believe|To believe, to believe|Yeah!|Mr. Jones and me|Stumbling through the Barrio|Yeah, we stare at the beautiful women|She's perfect for you|Man, there's got to be somebody for me.|I wanna be Bob Dylan|Mr. Jones wishes he was someone|Just a little more funky|When everybody loves you|Oh son, just about as funky as you can be|Mr. Jones and me|Starin' at the video|When I look at the television, I wanna see me|Staring right back at me|We all wanna be big stars|But we don't know why, and we don't know how|But when everybody loves me|I wanna be just about as happy as I can be|Mr. Jones and me|We're gonna be big stars20"
1993,6,Soul Asylum,Runaway Train,"Call you up in the middle of the night|Like a firefly without a light|You were there like a blowtorch burning|I was a key that could use a little turning|So tired that I couldn't even sleep|So many secrets I couldn't keep|Promised myself I wouldn't weep|One more promise I couldn't keep|It seems no one can help me now|I'm in too deep|There's no way out|This time I have really led myself astray|Runaway train never going back|Wrong way on a one-way track|Seems like I should be getting somewhere|Somehow I'm neither here nor there|Can you help me remember how to smile?|Make it somehow all seem worthwhile|How on earth did I get so jaded?|Life's mystery seems so faded|You might also likeI can go where no one else can go|I know what no one else knows|Here I am, just drowning in the rain|With a ticket for a runaway train|And everything seems cut and dry|Day and night|Earth and sky|Somehow I just don't believe it|Runaway train never going back|Wrong way on a one-way track|Seems like I should be getting somewhere|Somehow I'm neither here nor there|Bought a ticket for a runaway train|Like a madman laughing at the rain|A little out of touch, a little insane|It's just easier than dealing with the pain|Runaway train never going back|Wrong way on a one-way track|Seems like I should be getting somewhere|Somehow I'm neither here nor there|Runaway train never coming back|Runaway train tearing up the track|Runaway train burning in my veins|Runaway but it always seems the same7"
1993,7,Nirvana,All Apologies,"What else should I be? All apologies|What else could I say? Everyone is gay|What else could I write? I don't have the right|What else should I be? All apologies|In the sun, in the sun, I feel as one|In the sun, in the sun|Married, buried|I wish I was like you, easily amused|Find my nest of salt, everything's my fault|I'll take all the blame, aqua sea foam shame|Sunburn, freezer burn, chokin' on the ashes of her enemy|In the sun, in the sun, I feel as one|In the sun, in the sun|Married, married|Married, buried|Yeah, yeah, yeah, yeah|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are|All in all is all we are64"
1993,8,Janet Jackson,That's The Way Love Goes,"Like a moth to a flame, burned by the fire|My love is blind, can't you see my desire?|That's the way love goes|That's the way love|That's the way love|That's the way love goes|Like a moth to a flame, burned by the fire (That's the way)|My love is blind, can't you see my desire? (That's the way)|Like a moth to a flame, burned by the fire (That's the way)|My love is blind, can't you see my desire?|That's the way love goes|Like a moth to a flame, burned by the fire|That's the way, that's the way|That's the way love goes|That's the way love goes|My love is blind, can't you see my desire?|That's the way, that's the way|That's the way love goes|Come with me, don't you worry|I'm gonna make you crazy|I'll give you the time of your life|I'm gonna take you places|You've never been before and|You'll be so happy that you came|Ooh, I'm gonna take you there, ooh|That's the way love goes|That's the way love goes (That's the way love goes)|That's the way love goes (Desire, that's the way)|That's the way love goes (Desire, that's the way, that's the way love goes)|Don't mind if I light candles, I like to watch us play and|Baby, I've got on what you like|Come closer, baby, closer, reach out and feel my body|I'm gonna give you all my love (That's the way love goes)|Oh, sugar don't you hurry, you've got me here all night|Just close your eyes and hold on tight (That's the way, that's the way)|Ooh, baby, don't stop, don't stop, go deeper, baby, deeper|You feel so good I'm gonna cry|Oh, I'm gonna take you there, ooh|That's the way love goes|That's the way love goes (That's the way love goes)|That's the way love goes|That's the way love goes (That's the way love goes)|That's the way love goes|That's the way love goes (Don't you know? Oh, that's the way)|Like a moth to a flame, burned by the fire|My love is blind, can't you see my desire?|Like a moth to a flame, burned by the fire|My love is blind, can't you see my desire?|That's the way, that's the way (Ooh)|That's the way, that's the way (That's the way love goes)|That's the way, that's the way|That's the way love goes (That's the way love goes)|That's the way, that's the way|That's the way, that's the way (That's the way love goes, it goes, it goes)|That's the way, that's the way|That's the way love goes|That's the way love goes|That's the way love goes (That's the way love goes)|That's the way love goes (That's the way love goes)|That's the way love, that's the way love|That's the way love, that's the way love|That's the way love, that's the way love|That's the way love goes10"
1993,9,Snoop Doggy Dogg,Gin & Juice,"(Ugh) Ha-ha-ha, I'm serious, nigga|One of y'all niggas got some bad motherfuckin' breath|(Oh, man) Ayy, baby, ayy, baby, (shit) ayy, baby|Get some bubblegum in this motherfucker or somethin'|Ayy, nigga, get somethin' to eat, dog|Ayy, nigga, study long, study wrong, nigga|With so much drama in the L-B-C|It's kind of hard bein' Snoop D-O-double-G|But I, somehow, some way|Keep comin' up with funky-ass shit, like, every single day|May I kick a little something for the G's|And make a few ends as I breeze through?|Two in the mornin' and the party's still jumpin'|'Cause my mama ain't home|I got bitches in the livin' room gettin' it on|And they ain't leavin' till six in the mornin'|So what you wanna do?|Shit, I got a pocket full of rubbers and my homeboys do too|So turn off the lights and close the doors|But (But what?) we don't love them hoes, yeah|So we gon' smoke an ounce to this|G's up, hoes down, while you motherfuckers bounce to this|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Now that I got me some Seagram's gin|Everybody got they cups, but they ain't chipped in|Now this type of shit happens all the time|You got to get yours but, fool, I gotta get mine|Everything is fine when you listening to the D-O-G|I got the cultivating music that be captivating he|Who listens to the words that I speak|As I take me a drink to the middle of the street|And get to mackin' to this bitch named Sadie (Sadie?)|She used to be the homeboy's lady (Oh, that bitch)|80 degrees, when I tell that bitch please|Raise up off these N-U-T's, 'cause you gets none of these|At ease, as I mob with the Dogg Pound|Feel the breeze biatch, I'm just…|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Later on that day, my homie Dr. Dre|Came through with a gang of Tanqueray|And a fat ass J of some bubonic chronic|That made me choke; shit, this ain't no joke|I had to back up off of it and sit my cup down|Tanqueray and chronic, yeah, I'm fucked up now|But it ain't no stoppin', I'm still poppin'|Dre got some bitches from the city of Compton|To serve me; not with a cherry on top|'Cause when I bust my nut I'm raising up off the cot|Don't get upset, girl, that's just how it goes|I don't love you, hoes, I'm out the door, and I'll be...|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Rollin' down the street, smokin' indo|Sippin' on gin and juice, laid back|With my mind on my money|And my money on my mind|Rollin' down the street, smokin' indo|Sippin' on gin and juice, biatch|With my mind on my money|And my money on my mind|Rollin' down the street, smokin' indo|Sippin' on gin and juice, biatch|With my mind on my money|And my money on my mind90"
1993,10,Lenny Krav,Are You Gonna Go My Way,"I was born long ago|I am the chosen, I'm the one|I have come to save the day|And I won't leave until I'm done|So that's why you've got to try|You got to breathe and have some fun|Though I'm not paid, I play this game|And I won't stop until I'm done|But what I really want to know is|Are you going to go my way?|And I got to, got to know|I don't know why we always cry|This we must leave and get undone|We must engage and rearrange|And turn this planet back to one|So tell me why we got to die|And kill each other one by one|We've got to hug and rub-a-dub|We've got to dance and be in love|But what I really want to know is|Are you going to go my way?|And I got to, got to know|Are you going to go my way?|Because baby I got to know, yeah5"
1994,1,TLC,Waterfalls,"A lonely mother gazing out of the window|Staring at a son that she just can't touch|If at any time he's in a jam, she'll be by his side|But he doesn't realize he hurts her so much|But all the praying just ain't helping at all|'Cause he can't seem to keep himself out of trouble|So he goes out and he makes his money the best way he knows how|Another body laying cold in the gutter|Listen to me|Don't go chasing waterfalls|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|But I think you're moving too fast|Little precious has a natural obsession for temptation|But he just can't see|She gives him loving that his body can't handle|But all he can say is, Baby, it's good to me|One day, he goes and takes a glimpse in the mirror|But he doesn't recognize his own face|His health is fading, and he doesn't know why|Three letters took him to his final resting place|Y'all don't hear me|Don't go chasing waterfalls|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|(Your way or no way)|But I think you're moving too fast|Don't go chasing waterfalls|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|But I think you're moving too fast|Come on!|I seen a rainbow yesterday, but too many storms|Have come and gone, leaving a trace of not one God-given ray|Is it because my life is ten shades of gray, I pray|All ten fade away, seldom praise Him for the sunny days|And like His promise is true, only my faith can undo|The many chances I blew to bring my life to anew|Clear blue and unconditional skies|Have dried the tears from my eyes, no more lonely cries|My only bleeding hope is for the folk who can't cope|With such an endurin' pain that it keeps 'em in the pourin' rain|Who's to blame for tooting 'caine into your own vein?|What a shame, you shoot and aim for someone else's brain|You claim the insane, and name this day in time|For falling prey to crime|I say the system's got you victim to your own mind|Dreams are hopeless aspirations in hopes of coming true|Believe in yourself, the rest is up to me and you|Don't go chasing waterfalls|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|But I think you're moving too fast|Don't go chasing waterfalls|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|But I think you're movin' too fast (Ooh, you're movin' too fast)|Don't go chasing waterfalls (Don't go, don't go)|Please stick to the rivers and the lakes that you're used to|I know that you're gonna have it your way or nothing at all|(I know, I know, your way hey)|But I think you're moving too fast52"
1994,2,Soundgarden,Black Hole Sun,"In my eyes, indisposed|In disguises no one knows|Hides the face, lies the snake|In the sun in my disgrace|Boiling heat, summer stench|'Neath the black, the sky looks dead|Call my name through the cream|And I'll hear you scream again|Black hole sun, won't you come|And wash away the rain?|Black hole sun, won't you come?|Won't you come? Won't you come?|Stuttering, cold and damp|Steal the warm wind, tired friend|Times are gone for honest men|And sometimes far too long for snakes|In my shoes, a walking sleep|And my youth I pray to keep|Heaven send Hell away|No one sings like you anymore|Black hole sun, won't you come|And wash away the rain?|Black hole sun, won't you come?|Won't you come?|Black hole sun, won't you come|And wash away the rain?|Black hole sun, won't you come?|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Hang my head, drown my fear|'Til you all just disappear|Black hole sun, (Black hole sun) won't you come (Won't you come?)|And wash away the rain?|Black hole sun, (Black hole sun) won't you come? (Won't you come?)|Won't you come? (Won't you come?)|Black hole sun, (Black hole sun) won't you come (Won't you come?)|And wash away the rain?|Black hole sun, (Black hole sun) won't you come? (Won't you come?)|Won't you come? (Won't you come?)|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|(Black hole sun, black hole sun)|Won't you come?|Won't you come?77"
1994,3,Nine Inch Nails,Closer,You let me violate you|You let me desecrate you|You let me penetrate you|You let me complicate you|(Help me)|I broke apart my insides|(Help me)|I've got no soul to sell|(Help me)|The only thing that works for me|Help me get away from myself|I wanna fuck you like an animal|I wanna feel you from the inside|I wanna fuck you like an animal|My whole existence is flawed|You get me closer to God|You can have my isolation|You can have the hate that it brings|You can have my absence of faith|You can have my everything|(Help me)|You tear down my reason|(Help me)|It's your sex I can smell|(Help me)|You make me perfect|Help me become somebody else|I wanna fuck you like an animal|I wanna feel you from the inside|I wanna fuck you like an animal|My whole existence is flawed|You get me closer to God|Through every forest|Above the trees|Within my stomach|Scraped off my knees|I drink the honey|Inside your hive|You are the reason|I stay alive60
